ID,Name,Sex,Age,Height,Weight,Team,Year,Event,Medal
102244,Catherine Romano (-Bonnety),F,16,4.6,77,France,1988,Gymnastics Women's Individual All-Around,NA
102246,Guido Romano,M,20,NA,NA,Italy,1908,Gymnastics Men's Individual All-Around,NA
102347,Jos Andr Romersa,M,20,NA,NA,Luxembourg,1936,Gymnastics Men's Individual All-Around,NA
102424,Eva Rnstrm (-Ericsson),F,23,NA,NA,Sweden,1956,Gymnastics Women's Individual All-Around,NA
102465,"Patricia ""Patti"" Rope (-Portis)",F,16,5.4,106,Canada,1976,Gymnastics Women's Individual All-Around,NA
102489,Gun Margareta Rring (-Lindh),F,22,NA,NA,Sweden,1952,Gymnastics Women's Individual All-Around,NA
102490,"Johanna Hendrika ""Annie"" Ros (-Brouwers)",F,22,NA,NA,Netherlands,1948,Gymnastics Women's Team All-Around,NA
102575,Ezio Roselli,M,23,NA,NA,Italy,1920,Gymnastics Men's Team All-Around,Gold
102584,Sven Axel Arigo Rosn,M,21,NA,NA,Sweden,1908,Gymnastics Men's Team All-Around,Gold
102610,"Arthur Henry ""Art"" Rosenkampff",M,19,NA,NA,United States,1904,Gymnastics Men's Individual All-Around,NA
102615,Gustaf Vilhelm Rosenquist,M,20,NA,NA,Sweden,1908,Gymnastics Men's Team All-Around,Gold
102690,George James Ross,M,30,NA,NA,Great Britain,1908,Gymnastics Men's Team All-Around,NA
102697,Kyla Briana Ross,F,15,5.2,99,United States,2012,Gymnastics Women's Team All-Around,Gold
102722,Ruggero Rossato,M,24,5.3,126,Italy,1992,Gymnastics Men's Individual All-Around,NA
102765,Monique Rossi,F,22,5.3,119,France,1960,Gymnastics Women's Individual All-Around,NA
102771,Venceslao Rossi,M,NA,NA,NA,Roma,1906,Gymnastics Men's Team All-Around,NA
102806,Richard Rstel,M,NA,NA,NA,Germany,1896,Gymnastics Men's Horse Vault,NA
102808,Rostin,M,NA,NA,NA,France,1900,Gymnastics Men's Individual All-Around,NA
102818,Monica Rou,F,17,5,97,Romania,2004,Gymnastics Women's Individual All-Around,NA
102825,Flavio Rota,M,26,5.5,130,Switzerland,1992,Gymnastics Men's Individual All-Around,NA
102841,George Helm Roth,M,21,NA,NA,United States,1932,Gymnastics Men's Club Swinging,Gold
102842,Hans Roth,M,22,NA,NA,Germany,1912,Gymnastics Men's Team All-Around,NA
102854,"Emil Carl Rothe, Jr.",M,20,NA,NA,United States,1904,Gymnastics Men's Individual All-Around,NA
102894,Emil Rotong,M,21,NA,NA,Germany,1900,Gymnastics Men's Individual All-Around,NA
102907,Curt Rottmann,M,38,NA,NA,United States,1924,Gymnastics Men's Individual All-Around,NA
102965,Mohamed A. Roushdi,M,NA,NA,NA,Egypt,1948,Gymnastics Men's Individual All-Around,NA
102975,Maurice Rousseau,M,29,NA,NA,France,1936,Gymnastics Men's Individual All-Around,NA
103013,Olavi Antero Rove (Grnfelt-),M,32,NA,NA,Finland,1948,Gymnastics Men's Individual All-Around,NA
103111,Milica Roman,F,NA,NA,NA,Yugoslavia,1952,Gymnastics Women's Individual All-Around,NA
103113,Sonja Roman,F,NA,NA,NA,Yugoslavia,1952,Gymnastics Women's Individual All-Around,NA
103117,James Rozon,M,24,5.6,143,Canada,1988,Gymnastics Men's Individual All-Around,NA
