ID,Name,Sex,Age,Height,Weight,Team,Year,Event,Medal
122392,Mitsuo Tsukahara,M,28,5.5,146,Japan,1976,Gymnastics Men's Horse Vault,Silver
122392,Mitsuo Tsukahara,M,28,5.5,146,Japan,1976,Gymnastics Men's Parallel Bars,Bronze
122392,Mitsuo Tsukahara,M,28,5.5,146,Japan,1976,Gymnastics Men's Horizontal Bar,Gold
122394,Naoya Tsukahara,M,27,5.4,141,Japan,2004,Gymnastics Men's Team All-Around,Gold
122398,Shinsaku Tsukawaki,M,25,NA,NA,Japan,1956,Gymnastics Men's Team All-Around,Silver
122415,Shuji Tsurumi,M,22,5.2,115,Japan,1960,Gymnastics Men's Team All-Around,Gold
122415,Shuji Tsurumi,M,22,5.2,115,Japan,1960,Gymnastics Men's Pommelled Horse,Bronze
122415,Shuji Tsurumi,M,26,5.2,115,Japan,1964,Gymnastics Men's Individual All-Around,Silver
122415,Shuji Tsurumi,M,26,5.2,115,Japan,1964,Gymnastics Men's Team All-Around,Gold
122415,Shuji Tsurumi,M,26,5.2,115,Japan,1964,Gymnastics Men's Parallel Bars,Silver
122415,Shuji Tsurumi,M,26,5.2,115,Japan,1964,Gymnastics Men's Pommelled Horse,Silver
122469,Giovanni Battista Tubino,M,19,NA,NA,Italy,1920,Gymnastics Men's Team All-Around,Gold
122536,Mirela ugurlan,F,15,NA,NA,Romania,1996,Gymnastics Women's Team All-Around,Bronze
122559,Eino Tukiainen,M,21,NA,NA,Finland,1936,Gymnastics Men's Team All-Around,Bronze
122567,Gza Tuli,M,24,NA,NA,Hungary,1912,Gymnastics Men's Team All-Around,Silver
122622,Adolfo Tunesi,M,24,NA,NA,Italy,1912,Gymnastics Men's Team All-Around,Gold
122724,Niels Christian Congo Turin-Nielsen,M,33,NA,NA,Denmark,1920,"Gymnastics Men's Team All-Around, Free System",Gold
122726,Lyudmila Ivanovna Turishcheva (-Borzova),F,16,5.2,115,Soviet Union,1968,Gymnastics Women's Team All-Around,Gold
122726,Lyudmila Ivanovna Turishcheva (-Borzova),F,19,5.2,115,Soviet Union,1972,Gymnastics Women's Individual All-Around,Gold
122726,Lyudmila Ivanovna Turishcheva (-Borzova),F,19,5.2,115,Soviet Union,1972,Gymnastics Women's Team All-Around,Gold
122726,Lyudmila Ivanovna Turishcheva (-Borzova),F,19,5.2,115,Soviet Union,1972,Gymnastics Women's Floor Exercise,Silver
122726,Lyudmila Ivanovna Turishcheva (-Borzova),F,19,5.2,115,Soviet Union,1972,Gymnastics Women's Horse Vault,Bronze
122726,Lyudmila Ivanovna Turishcheva (-Borzova),F,23,5.2,115,Soviet Union,1976,Gymnastics Women's Individual All-Around,Bronze
122726,Lyudmila Ivanovna Turishcheva (-Borzova),F,23,5.2,115,Soviet Union,1976,Gymnastics Women's Team All-Around,Gold
122726,Lyudmila Ivanovna Turishcheva (-Borzova),F,23,5.2,115,Soviet Union,1976,Gymnastics Women's Floor Exercise,Silver
122726,Lyudmila Ivanovna Turishcheva (-Borzova),F,23,5.2,115,Soviet Union,1976,Gymnastics Women's Horse Vault,Silver
122770,Dumitria Turner,F,16,5.2,99,Romania,1980,Gymnastics Women's Team All-Around,Silver
122858,Seda Gurgenovna Tutkhalyan,F,17,4.8,95,Russia,2016,Gymnastics Women's Team All-Around,Silver
122914,"Elizabeth Kimberly ""Beth"" Tweddle",F,27,5.2,115,Great Britain,2012,Gymnastics Women's Uneven Bars,Bronze
122971,Walter Tysall,M,28,5.2,119,Great Britain,1908,Gymnastics Men's Individual All-Around,Silver
123056,Kohei Uchimura,M,19,5.2,119,Japan,2008,Gymnastics Men's Individual All-Around,Silver
123056,Kohei Uchimura,M,19,5.2,119,Japan,2008,Gymnastics Men's Team All-Around,Silver
123056,Kohei Uchimura,M,23,5.2,119,Japan,2012,Gymnastics Men's Individual All-Around,Gold
123056,Kohei Uchimura,M,23,5.2,119,Japan,2012,Gymnastics Men's Team All-Around,Silver
123056,Kohei Uchimura,M,23,5.2,119,Japan,2012,Gymnastics Men's Floor Exercise,Silver
123056,Kohei Uchimura,M,27,5.2,119,Japan,2016,Gymnastics Men's Individual All-Around,Gold
123056,Kohei Uchimura,M,27,5.2,119,Japan,2016,Gymnastics Men's Team All-Around,Gold
123078,Filip Ude,M,22,5.6,150,Croatia,2008,Gymnastics Men's Pommelled Horse,Silver
123139,Tadao Uesako,M,30,NA,NA,Japan,1952,Gymnastics Men's Floor Exercise,Silver
123139,Tadao Uesako,M,30,NA,NA,Japan,1952,Gymnastics Men's Horse Vault,Bronze
123353,Teodora Ungureanu (-Cepoi),F,15,4.9,97,Romania,1976,Gymnastics Women's Team All-Around,Silver
123353,Teodora Ungureanu (-Cepoi),F,15,4.9,97,Romania,1976,Gymnastics Women's Uneven Bars,Silver
123353,Teodora Ungureanu (-Cepoi),F,15,4.9,97,Romania,1976,Gymnastics Women's Balance Beam,Bronze
123373,Martti Uosikkinen,M,22,5.3,134,Finland,1932,Gymnastics Men's Team All-Around,Bronze
123373,Martti Uosikkinen,M,26,5.3,134,Finland,1936,Gymnastics Men's Team All-Around,Bronze
123449,Galina Napoleonovna Urbanovich (Khelle-),F,34,NA,NA,Soviet Union,1952,Gymnastics Women's Team All-Around,Gold
123449,Galina Napoleonovna Urbanovich (Khelle-),F,34,NA,NA,Soviet Union,1952,Gymnastics Women's Team Portable Apparatus,Silver
123534,Marius Daniel Urzic,M,20,5.3,126,Romania,1996,Gymnastics Men's Pommelled Horse,Silver
123534,Marius Daniel Urzic,M,24,5.3,126,Romania,2000,Gymnastics Men's Pommelled Horse,Gold
123534,Marius Daniel Urzic,M,28,5.3,126,Romania,2004,Gymnastics Men's Team All-Around,Bronze
